episode_scores,episode_durations,max_waves,avg_rewards,total_rewards,epsilon_values,loss_values,q_values,enemies_destroyed,generation_number
0,15.306970834732056,1,-0.16620007524868438,-317.3526890741615,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,24.2559597492218,1,-0.05478022294079496,-17.022922246010843,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,16.72272801399231,1,-0.028753702330212842,241.58780340771267,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,13.95227599143982,1,-0.011439912237116762,590.9594985763777,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,15.65808653831482,1,0.00012375334420191355,1083.7105069866222,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,16.078754425048828,1,-0.03013047834470855,1527.1720367119617,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,14.892993450164795,1,-0.045320935649014224,1798.9112513409086,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,13.112908124923706,1,-0.09324389722341433,1933.7204772537966,0.04999916370086185,0.005469998344779015,3.8032572269439697,1,0
0,12.841034412384033,1,-0.033830300239545315,2307.4336882035327,0.04999916370086185,0.005469998344779015,3.8032572269439697,1,0
200,15.764628887176514,1,-0.028616161730241816,2790.0791547321205,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,17.037026405334473,1,-0.06373799532913842,3173.368503025878,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,11.911319255828857,1,-0.04777782604860667,3469.1596739354454,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,17.78602409362793,1,-0.03141977513435176,4009.1295146723714,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,11.064526319503784,1,-0.05865036787497617,4273.133197668227,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,12.902046203613281,1,-0.04153921585727441,4637.90121021619,0.04999916370086185,0.005469998344779015,3.8032572269439697,1,0
0,14.390081644058228,1,-0.03138274877709298,5074.053984002188,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
400,15.545510530471802,1,-0.09556245109053348,5317.896447419619,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,12.80841326713562,1,-0.03244434355418519,5702.562448640862,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,16.49185037612915,1,-0.024310316421051626,6224.901650679782,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,11.160719394683838,1,-0.057824197031659766,6497.214826668386,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,14.626780986785889,1,-0.35343948681051274,5550.518364641501,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
300,14.015142917633057,1,-0.041741146547697325,5939.5716658891715,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
1100,19.84430432319641,1,-0.00775133359590141,6651.841605275153,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,18.286767959594727,1,-0.06997503236298769,7044.9380348148725,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,15.8072509765625,1,-0.028496887733043395,7542.95756107677,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,15.96388554573059,1,-0.045894883386979425,7969.352169918019,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,13.59565019607544,1,-0.04337809977437716,8344.904201977064,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,13.373311996459961,1,-0.04766638608317056,8701.202461056297,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,12.86860966682434,1,-0.040800217490723045,9062.789278150003,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,15.21040964126587,1,-0.03940226646046111,9495.821445548683,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
